post_id,u_fem,u_mal,t_fem,t_mal,tags,ff_co,fm_co,mf_co,mm_co,frd_co,latino,non_latino,trigram1,freq_t1,trigram2,freq_t2,trigram3,freq_t3,trigram4,freq_t4,trigram5,freq_t5,neg_avg,pos_avg,neu_avg,ss_comments,fem_ss,mal_ss,lat_ss,nlat_ss
1405630409737397_1578542649112838,34,27,17,12,29,10,7,7,5,2,39,22,I don t,4,some of the,2,at a early,2,but that s,2,April Zujehy Tapia,2,0.071327869,0.099409836,0.829262295,0.149565385,0.213442857,0.075041667,0.027353333,0.316218182
1405630409737397_1578540665779703,9,21,1,6,7,1,1,0,5,6,24,6,at the umbrella,2,some of these,2,s b I,1,Esta fruta e,1,out the freaking,1,0.0407,0.069466667,0.8565,0.117918182,0.2947,0.0169,0.150077778,-0.0268
1405630409737397_1578549882445448,292,94,230,55,285,174,41,56,14,89,274,112,the first one,5,reminded me of,4,this reminded me,3,partner in chisme,3,ME TELL YOU,2,0.005204663,0.099238342,0.892966321,0.457642222,0.424183607,0.52802069,0.451376119,0.475895652
1405630409737397_1578577585776011,5,1,0,0,0,0,0,0,0,0,1,5,make you feel,2,any le shallow,1,hater get her,1,ON PEOPLE Instagram,1,guilty or give,1,0.066,0.411333333,0.5225,0.317583333,0.30072,0.4019,0.4019,0.30072
1405630409737397_1578579525775817,79,61,37,44,81,22,26,15,18,10,109,31,moving on up,2,Ernie J Sifuentes,1,Pedro Castorena Jr,1,Garcia Erik Garcia,1,a second awesome,1,0.005564286,0.093264286,0.886885714,0.491777419,0.478721053,0.51245,0.470181481,0.63755
1405630409737397_1578579129109190,77,30,43,26,69,30,22,13,4,7,74,33,Kevin Perez these,2,serious question I,2,Perez these are,2,the struggle is,2,I m Mexican,2,0.042897196,0.060925234,0.896205607,0.089929268,0.103693103,0.056666667,0.14437619,0.03276
1405630409737397_1578546502445786,19,4,11,1,12,8,1,3,0,2,16,7,dar un nietecito,1,Que no tienen,1,Jovanna Rodrigo Govea,1,Ha ha ha,1,ZuÃ±iga Aguirre Karen,1,0.023173913,0.132695652,0.844130435,0.271542857,0.194283333,0.7351,0.21156,0.4215
1405630409737397_1578551515778618,38,46,4,0,4,2,0,2,0,0,63,21,going to do,2,happens when you,2,what happens when,2,Ted Cruz is,2,I m not,2,0.101178571,0.084619048,0.719011905,-0.067645238,-0.040252632,-0.090273913,-0.091635484,-3.64E-05
1405630409737397_1578513425782427,33,22,10,6,16,5,4,5,2,3,29,26,your kitchen And,1,You tried man,1,lol Richie Mendez,1,s just nasty,1,hell Sorry Whole,1,0.092272727,0.129636364,0.759927273,0.03695,-0.076283333,0.182535714,-0.150035714,0.182383333
1405630409737397_1578444045789365,15,13,0,3,3,0,2,0,1,0,23,5,admit she is,1,have law that,1,nobody else will,1,son una porquerÃ_a,1,Nation under God,1,0.060285714,0.100642857,0.517678571,0.07146,0.1195,-0.0006,0.01785,0.2859
1405630409737397_1578301229136980,18,2,12,4,16,11,3,1,1,3,16,4,Erika Rodriguez Cyndi,1,do I feel,1,Lomeli this is,1,soo many time,1,ve heard my,1,0.00205,0.16095,0.837,0.639022222,0.6662125,0.4215,0.61375,0.8412
1405630409737397_1578066622493774,26,11,20,5,25,16,2,4,3,5,25,12,a bad bitch,4,bad bitch lol,3,I m a,3,one are you,2,m a bad,2,0.124648649,0.104918919,0.770432432,-0.254285714,-0.42633,0.175825,-0.419277778,0.0427
1405630409737397_1578061755827594,27,12,7,3,10,5,3,2,0,1,30,9,re on the,2,on the news,2,I don t,2,here in AZ,1,your understanding you,1,0.064051282,0.154282051,0.781717949,0.193608,0.1968875,0.187777778,0.263628571,-0.174
1405630409737397_1578061125827657,4,4,3,0,3,3,0,0,0,1,6,2,De Leon Charity,1,SELENA COVERS Kelsey,1,Tamara Solis Malik,1,s awesome OITNB,1,singer Melissa Mario,1,0,0.401125,0.598875,0.59668,0.5698,0.6146,0.5207,0.71065
1405630409737397_1578136262486810,30,38,1,2,3,0,1,1,1,0,48,20,proud of your,2,all other country,2,to provide for,2,the U S,2,so stupid and,2,0.18025,0.068808824,0.692161765,-0.236704167,-0.364091667,-0.109316667,-0.221324242,-0.27054
1405630409737397_1578171485816621,95,45,37,22,59,22,16,15,6,8,98,42,delgado woman wanted,3,wanted in uptown,3,in uptown dallas,3,2016 04 brenda,3,is captured in,3,0.104778571,0.1004,0.7877,-0.033109091,-0.02186087,-0.05898,0.018225532,-0.160094737
1405630409737397_1578087052491731,124,23,77,26,103,65,22,12,4,17,97,50,I moved out,3,this is so,3,got over it,2,So true I,2,so true lol,2,0.017204082,0.104462585,0.878326531,0.366846512,0.371794286,0.3452,0.360976923,0.375823529
1405630409737397_1578087769158326,157,109,13,5,18,13,4,0,1,3,191,75,Ann Coulter is,9,American rape culture,7,Coulter is a,5,Latin American rape,5,I can t,5,0.247041353,0.064184211,0.654977444,-0.456391099,-0.481794737,-0.418780519,-0.43277029,-0.51789434
1405630409737397_1578081122492324,54,42,4,2,6,2,1,2,1,2,68,28,she wa not,5,this type of,4,12 year old,4,would have been,3,I don t,3,0.120822917,0.079291667,0.768604167,-0.229951471,-0.269671795,-0.176534483,-0.254559574,-0.17487619
1405630409737397_1578027822497654,42,16,26,7,33,18,5,8,2,10,43,15,how to dance,2,He is so,2,To He is,1,Salsa ballroom Cha,1,Krause Jr Pedraza,1,0.016103448,0.16262069,0.821275862,0.522622727,0.517522222,0.545575,0.474494118,0.68626
1405630409737397_1577845105849259,130,144,22,25,47,10,16,12,9,10,207,67,I don t,8,Chinese food in,6,I m not,6,food in the,5,didn t like,5,0.120653285,0.099569343,0.768835766,-0.077651111,0.007857317,-0.14919898,-0.127743796,0.081946512
1405630409737397_1577845865849183,23,19,5,8,13,5,4,0,4,6,32,10,wa the first,2,of Cabrakan from,1,And Vikings too,1,siquiera poner la,1,Latinos I d,1,0.041738095,0.098357143,0.859904762,0.20575,0.257775,0.171066667,0.269,0.058166667
1405630409737397_1577667805866989,20,6,10,4,14,7,4,3,0,2,18,8,so close She,1,GonzÃ¡lez GuillÃ©n Dahlila,1,a book His,1,it profoundly change,1,story I believe,1,0.082192308,0.072923077,0.767923077,-0.050466667,-0.0439375,-0.1027,0.046175,-0.12778
1405630409737397_1577701589196944,54,33,37,8,45,24,4,13,4,14,64,23,Amazing young lady,1,out this article,1,Haydee Ramirez Pamela,1,Jessica Espindola Jessica,1,Ruiz Jenny Lopez,1,0.025931034,0.071643678,0.879471264,0.396061111,0.425178571,0.29415,0.510230769,0.09922
1405630409737397_1577716045862165,7,6,0,0,0,0,0,0,0,0,10,3,write what they,2,what they see,2,now and then,1,casted by a,1,Plus he took,1,0.096769231,0.164076923,0.739,0.25738,0.199933333,0.34355,0.413314286,-0.106466667
1405630409737397_1577693679197735,474,174,312,94,406,236,68,76,26,47,396,252,you don t,8,don t look,8,I m not,7,are you white,6,of my life,6,0.035236111,0.096641975,0.857319444,0.187792576,0.217208427,0.08512549,0.16621374,0.216637755
1405630409737397_1577667585867011,119,96,46,61,107,27,35,19,26,10,144,71,for this I,2,I saw them,2,a cholo but,2,like a cholo,2,in the background,2,0.051874419,0.09955814,0.829967442,0.193324658,0.206697778,0.171832143,0.154509302,0.24896
1405630409737397_1577628799204223,22,26,3,1,4,3,1,0,0,0,37,11,read the article,4,guy didn t,2,you guy didn,2,Actually read the,2,didn t read,2,0.1470625,0.064625,0.684166667,-0.099648148,-0.157746154,-0.0457,-0.224395,0.256771429
1405630409737397_1577608105872959,74,58,17,12,29,13,9,4,3,3,98,34,in every movie,3,he the cholo,2,and the Furious,2,Isn t he,2,I don t,2,0.056310606,0.100386364,0.813007576,0.036404082,0.25092,-0.18705,0.070838889,-0.058953846
1405630409737397_1577563219210781,79,44,41,13,54,30,9,11,4,7,85,38,This is old,2,with latin culture,2,day of your,2,got a chance,2,the and you,2,0.078463415,0.119731707,0.785560976,0.125194915,0.20275,0.003804348,0.107497297,0.154959091
1405630409737397_1577448355888934,184,110,80,72,152,46,54,34,18,35,207,87,this would be,5,Official Chingo Bling,4,wa this you,4,tamale and they,2,they say gg,2,0.07914966,0.088183673,0.815663265,0.031626271,0.079042857,-0.05742439,0.032907317,0.028708333
1405630409737397_1577441525889617,40,14,8,8,16,4,6,4,2,1,33,21,the reason I,3,part of the,3,think she s,2,I love her,2,I don t,2,0.123907407,0.136074074,0.740018519,0.166525,0.260362963,-0.114988889,0.10694,0.24100625
1405630409737397_1577268219240281,42,35,7,5,12,4,2,3,3,1,47,30,to become a,4,getting rid of,3,the only reason,3,reason to become,3,to vote against,3,0.048402597,0.128493506,0.758168831,0.167569231,0.167,0.1683875,0.295737037,-0.120808333
1405630409737397_1577230755910694,11,12,9,3,12,5,1,4,2,2,15,8,Dominique Waller these,1,mom and her,1,something Blake Dornak,1,This is a,1,Iterica Denise Anyssa,1,0.071521739,0.07373913,0.854782609,-0.014671429,0.25312,-0.68415,-0.202475,0.235733333
1405630409737397_1577259505907819,130,88,27,18,45,19,14,8,4,8,137,81,I don t,6,have to clean,4,ha to clean,4,to clean up,3,shit on it,3,0.125655963,0.116577982,0.666036697,-0.124828696,-0.145145714,-0.093224444,-0.101230986,-0.162906818
1405630409737397_1577110155922754,70,32,34,12,46,26,10,8,2,7,75,27,Arroz con leche,6,Pepino con tajin,3,these sound gross,2,crema y chile,2,have the real,2,0.066921569,0.063921569,0.84954902,-2.86E-05,0.006154167,-0.013518182,0.06528,-0.1633
1405630409737397_1577108125922957,14,14,6,5,11,4,4,2,1,1,18,10,like Dolores Huerta,4,Heroine like Dolores,2,portray Dolores Huerta,2,Rosario Dawson is,2,Dolores Huerta and,2,0.0635,0.076464286,0.824321429,0.156683333,-0.1932,0.506566667,0.290166667,-0.243766667
1405630409737397_1577091462591290,14,7,7,7,14,3,6,4,1,0,14,7,something like this,1,Taliulu Lala Hernandez,1,She s done,1,Rodriguez thought u,1,this Bravo This,1,0,0.281714286,0.718285714,0.530918182,0.521228571,0.547875,0.5357,0.518166667
1405630409737397_1576714409295662,95,36,52,26,78,40,18,12,8,17,91,40,good for him,2,you should read,1,Rdz Munoz meet,1,no Hot cheetos,1,Ruined many child,1,0.023709924,0.124687023,0.836351145,0.321569048,0.296585294,0.42775,0.248718519,0.4527
1405630409737397_1577056182594818,31,13,1,5,6,1,4,0,1,0,31,13,she is a,2,a well Malinche,1,wa lebanese Damn,1,in Hollywood Does,1,how many different,1,0.120295455,0.168681818,0.711045455,0.107875,0.175014286,-0.093542857,0.058666667,0.19645
1405630409737397_1576751435958626,501,280,258,165,423,168,114,90,51,99,563,218,the cop on,9,call the cop,7,mom s pozole,7,gonna be me,6,bomb as pozole,5,0.07018694,0.119418694,0.789916773,0.135712773,0.162525481,0.086358407,0.148298712,0.102388636
1405630409737397_1576749882625448,97,63,35,22,57,23,14,12,8,3,98,62,they don t,4,being inspired by,3,from other culture,2,up in arm,2,e un robo,2,0.08535625,0.08280625,0.8193625,0.028206329,0.056135556,-0.008758824,0.0092725,0.047625641
1405630409737397_1576766425957127,54,26,26,16,42,18,11,8,5,6,48,32,my mouth is,2,Didn t even,2,the better the,2,t even have,2,even have to,2,0.0283375,0.1037625,0.867925,0.355779167,0.385292857,0.31446,0.37628,0.321611111
1405630409737397_1576746959292407,43,41,6,10,16,4,7,2,3,0,57,27,Diamond Phillips is,4,proud to be,4,blood in blood,3,in blood out,3,one of my,3,0.049630952,0.159333333,0.76727381,0.19718,0.3641375,0.006371429,0.12511875,0.374561538
1405630409737397_1576768302623606,42,33,5,7,12,3,6,2,1,0,48,27,I don t,2,race ha one,2,be mad at,2,is going to,2,risk their life,2,0.090293333,0.11976,0.696613333,0.035131707,0.293525,-0.210957143,0.046508,0.01735625
1405630409737397_1576694282631008,26,46,8,5,13,3,4,5,1,2,51,21,That s why,3,using the drug,3,not a wall,2,the border patrol,2,pay for wall,2,0.101333333,0.084986111,0.771986111,-0.0161,-0.078661538,0.016432,0.07535,-0.172871429
1405630409737397_1576582299308873,244,104,184,47,231,130,31,54,16,50,228,120,taco before vatos,13,Tacos before vatos,6,Tacos before Vatos,2,ha ha ha,2,by this motto,2,0.022298851,0.110876437,0.858212644,0.323161702,0.335327941,0.291342308,0.372746377,0.186308
1405630409737397_1576540229313080,34,53,9,13,22,4,5,5,8,0,65,22,and if you,3,quien lo suyo,3,Camacho y Los,2,ebay com itm,2,a reflection of,2,0.118436782,0.084310345,0.751275862,-0.161623529,-0.241605556,-0.11799697,-0.180389189,-0.112028571
1405630409737397_1576540759313027,11,2,3,2,5,3,2,0,0,0,11,2,loser Tico Espinoza,1,so inspirational Really,1,Tico Espinoza Beltran,1,it amazing More,1,love the queen,1,0.230923077,0.078307692,0.690692308,-0.118742857,0.15962,-0.81465,0.0033,-0.851
1405630409737397_1576508605982909,214,93,54,20,74,35,14,19,6,13,194,113,I don t,5,I can t,5,I hate this,4,the music industry,3,wa an accident,3,0.219576547,0.045456026,0.71870684,-0.479974857,-0.486247619,-0.463844898,-0.436475926,-0.550092537
1405630409737397_1576363825997387,1,3,0,1,1,0,0,0,1,0,3,1,his sticker doe,1,picture right here,1,Celso Goitia Rodriguez,1,66 Dodgers Too,1,here his name,1,0,0.186,0.814,0.4404,nan,0.4404,0.4404,nan
1405630409737397_1576363489330754,4,0,2,0,2,2,0,0,0,0,3,1,choice Also kinda,1,crossed over to,1,Shakira lost me,1,kinda hobo chic,1,in 7 My,1,0.032,0.0425,0.9255,-0.02125,-0.02125,nan,-0.25,0.2075
1405630409737397_1576363099330793,11,12,1,0,1,1,0,0,0,0,16,7,It wa Donald,2,a house of,1,just tell you,1,atlanta Thank you,1,heavy with gang,1,0.179869565,0.062,0.714652174,-0.2951625,-0.364333333,-0.25366,-0.170663636,-0.56906
1405630409737397_1576330666000703,11,4,3,3,6,2,3,1,0,0,9,6,Pete totally rocked,1,astudillo Nope It,1,her for Nicky,1,Brian Fry check,1,Helen They talked,1,0.060266667,0.065933333,0.8738,0.09812,0.09812,nan,0.8713,-0.095175
1405630409737397_1576245992675837,8,7,1,1,2,1,1,0,0,0,9,6,done with this,2,with this page,2,need to get,1,for Max FernÃ¡ndez,1,tacky Uncalled for,1,0.0944,0.059,0.8466,-0.218957143,-0.257333333,-0.190175,-0.043333333,-0.350675
1405630409737397_1576250972675339,82,38,17,20,37,12,18,5,2,3,84,36,I don t,3,kill them all,2,be scared of,2,these gang member,2,would not be,2,0.123675,0.068016667,0.774958333,-0.1715,-0.282094286,0.004445455,-0.259245238,0.074186667
1405630409737397_1576096326024137,62,33,39,29,68,31,20,8,9,14,64,31,espaÃ±oles Karen Leticia,1,HIJOELAGRANDOBLEPUTA Monica la,1,en Venezuela e,1,translate for you,1,Puta madre Hijoelagrandobleputa,1,0.027736842,0.051673684,0.899526316,0.132031579,0.246736364,-0.0256875,0.097776923,0.20625
1405630409737397_1576095862690850,16,12,0,1,1,0,0,0,1,0,18,10,What a shame,1,t act a,1,solve the asshole,1,salir por algo,1,with playboy because,1,0.12825,0.06025,0.811535714,-0.13965,-0.235618182,0.07148,-0.039336364,-0.36034
1405630409737397_1576095742690862,23,23,0,5,5,0,5,0,0,1,32,14,I don t,2,I think she,2,do not want,2,get it Hillary,2,when you are,2,0.076391304,0.061847826,0.600913043,0.030004762,0.049028571,-0.008042857,0.041723077,0.0109625
