"PostID","FBlink","Mitulink","Headline","ShareText","Type","Category","DatePosted","HourPosted","Hour","Day","Month","Reach","Comments","Likes","Shares","TotalInter","InterRate","Clicks","CTR","TimesRepost","Reposted","RepostOrder","Originals","Reposts","ss_headlines","ss_comments","category"
"1405630409737397_1556866867947083","https://www.facebook.com/wearemitu/posts/1556866867947083","https://www.wearemitu.com/mitu-voice/lamest-come-ons-latinas-have-to-put-up-with/","These Latina Catcalls Will Make You Cringe – And You’ve Probably Heard at Least Three","“I’m going to call you, piñata, because I’d love to hit that.”","Link","Sex & Relationships",2016-02-22,"8:00:00 a. m.",8,1,2,105108,40,252,45,337,0.0032,1582,136,"4","1","4","0","1",0,0.254228571,"Sex & Relationships"
"1405630409737397_1557105397923230","https://www.facebook.com/wearemitu/posts/1557105397923230","https://www.wearemitu.com/mitu-voice/watch-these-white-actors-act-more-white/","Role Reversal: White Actors Asked to Act More White by a Latino","""Can you act more caucasian? Really round those vowels.""","Link","TV & Movies",2016-02-22,"2:59:13 p. m.",14,1,2,213929,98,1156,224,1478,0.0069,3954,172,"2","1","2","0","1",0,0.27709,"TV & Movies"
"1405630409737397_1557133791253724","https://www.facebook.com/wearemitu/posts/1557133791253724","https://www.wearemitu.com/mitu-life/how-to-rock-frida-kahlos-iconic-style-everyday/","You Need to Steal these Trends from Frida Kahlo Now","Okay, some of these looks are actually super cute.","Link","Beauty & Fashion",2016-02-22,"4:53:53 p. m.",16,1,2,212813,116,1646,266,2028,0.0095,5987,274,"3","1","2","0","1",-0.4939,0.4944,"Beauty & Fashion"
"1405630409737397_1557148837918886","https://www.facebook.com/wearemitu/posts/1557148837918886","https://www.wearemitu.com/mitu-voice/13-things-family-members-smuggle-from-mexico/","13 Things Family Members Smuggle From Mexico","Some things are just better there.","Link","Family & Friends",2016-02-22,"7:00:00 p. m.",19,1,2,324094,301,2294,477,3072,0.0095,7694,227,"1","1","0","1","0",-0.3818,0.276462791,"Family & Friends"
"1405630409737397_1557152054585231","https://www.facebook.com/wearemitu/posts/1557152054585231","https://www.wearemitu.com/mitu-world/are-these-dogs-in-san-miguel-de-allende-just-pets/","Mexican Dogs being Kept on Roofs in Mexico","They are not there by choice.","Link","Animals",2016-02-22,"9:00:00 p. m.",21,1,2,116269,73,308,41,422,0.0036,2570,211,"4","1","4","0","1",0,-0.136188,"Animals"
"1405630409737397_1557157807917989","https://www.facebook.com/wearemitu/posts/1557157807917989","https://www.wearemitu.com/mitu-world/rum-blood-of-the-sugarcane-worker/","Think about this Sad Reality Next Time You Drink a Mojito","Everything about this is cruel.","Link","News & Issues",2016-02-22,"11:00:00 p. m.",23,1,2,252777,103,476,192,771,0.0031,12472,480,"5","1","2","0","1",-0.561,-0.49806087,"News & Issues"
"1405630409737397_1557249477908822","https://www.facebook.com/wearemitu/posts/1557249477908822","https://www.wearemitu.com/mitu-voice/outlandish-things-that-happen-at-latino-funerals/","Ridiculous Things that Only Happen at Latino Funerals","They're low key parties.","Link","Latino Culture",2016-02-23,"8:00:00 a. m.",8,2,2,169590,84,644,122,850,0.005,3702,207,"3","1","2","0","1",-0.6249,-0.009443333,"Latino Culture"
"1405630409737397_1557460121221091","https://www.facebook.com/wearemitu/posts/1557460121221091","https://www.wearemitu.com/mitu-voice/things-at-latino-weddings/","It’s Not a Latino Wedding if these 16 Things Don’t Happen","It's not a Latino wedding unless you're fighting for the centerpiece...","Link","Sex & Relationships",2016-02-23,"12:20:50 p. m.",12,2,2,361136,667,5636,611,6914,0.0191,8754,232,"7","1","3","0","1",0,0.4171525,"Sex & Relationships"
"1405630409737397_1557565857877184","https://www.facebook.com/wearemitu/posts/1557565857877184","https://www.wearemitu.com/mitu-world/quiz-which-selena-bustier-are-you/","Quiz: Let’s See if We Can Guess Your Personality Based on Selena’s Bras","Not every Selena bustier is the same.","Link","Celebrity & Gossip",2016-02-23,"9:00:00 p. m.",21,2,2,158995,120,902,74,1096,0.0069,5201,322,"2","1","2","0","1",0,0.537244444,"Celebrity & Gossip"
"1405630409737397_1557620341205069","https://www.facebook.com/wearemitu/posts/1557620341205069","https://www.wearemitu.com/mitu-voice/types-of-latino-boyfriends-weve-all-dated/","These Latino Boyfriends are the Best Thing We Never Had","And that's why he's your ex...","Link","Sex & Relationships",2016-02-23,"11:00:00 p. m.",23,2,2,257532,184,935,130,1249,0.0048,8257,316,"5","1","3","0","1",0.6369,0.358245161,"Sex & Relationships"
"1405630409737397_1557653691201734","https://www.facebook.com/wearemitu/posts/1557653691201734","https://www.wearemitu.com/mitu-world/mexican-indigenous-words-you-use-every-day/","The Origin of Some of Your Favorite English Words is Surprising","Sorry America, Mexico owned these words first.","Link","Latino Culture",2016-02-24,"6:00:00 a. m.",6,3,2,132840,28,730,57,815,0.0061,3350,243,"2","1","2","0","1",0.6249,-0.120633333,"Latino Culture"
"1405630409737397_1557654417868328","https://www.facebook.com/wearemitu/posts/1557654417868328","https://www.wearemitu.com/mitu-world/a-border-vigilante-hunts-down-immigrants-in-the-intense-trailer-for-desierto/","A Border Vigilante Hunts Down Immigrants in the Intense Trailer for ‘Desierto’","If you're Latino this movie will freak you out.","Link","TV & Movies",2016-02-24,"8:00:00 a. m.",8,3,2,473019,684,5924,1012,7620,0.0161,8748,172,"1","1","1","0","1",0.0772,-0.00124717,"TV & Movies"
"1405630409737397_1557806031186500","https://www.facebook.com/wearemitu/posts/1557806031186500","https://www.wearemitu.com/mitu-voice/can-you-tell-if-it-is-kim-kardashian-or-el-chapos-wife/","Quiz: Can You Tell If This Is Kim Kardashian Or El Chapo's Wife?","She looks exactly like Kim!","Link","Celebrity & Gossip",2016-02-24,"10:00:00 a. m.",10,3,2,348592,349,1517,109,1975,0.0057,16206,458,"4","1","0","1","0",0,0.028950394,"Celebrity & Gossip"
"1405630409737397_1557832374517199","https://www.facebook.com/wearemitu/posts/1557832374517199","https://www.wearemitu.com/mitu-world/dolores-huerta-was-wrong-this-weekend-and-heres-why/","Latinos are Pissed at Dolores Huerta, Here's Why","This is the comment that started it all.","Link","Citizenship & Politics",2016-02-24,"12:00:00 p. m.",12,3,2,568682,1010,3537,633,5180,0.0091,32479,525,"1","1","0","1","0",-0.6369,-0.046711719,"Citizenship & Politics"
"1405630409737397_1557836214516815","https://www.facebook.com/wearemitu/posts/1557836214516815","https://www.wearemitu.com/mitu-voice/why-we-owe-everything-to-this-former-janitor/","This Janitor Started From The Bottom… And Then, He Invented Hot Cheetos","This guy is a national hero!","Link","Identities",2016-02-24,"2:00:00 p. m.",14,3,2,733749,1389,15192,1981,18562,0.0253,14968,192,"3","1","0","1","0",0,0.475374214,"Identities"
"1405630409737397_1557898227843947","https://www.facebook.com/wearemitu/posts/1557898227843947","https://www.wearemitu.com/mitu-world/19-of-your-favorite-latinos-re-imagined-as-legos/","J.Lo, Prince Royce and 17 Other Iconic Latinos As LEGOs","I need the Selena Lego in my life.","Link","Celebrity & Gossip",2016-02-24,"7:00:00 p. m.",19,3,2,527425,648,9199,1609,11456,0.0217,8806,153,"2","1","0","1","0",0,0.349111364,"Celebrity & Gossip"
"1405630409737397_1558071137826656","https://www.facebook.com/wearemitu/posts/1558071137826656","https://www.wearemitu.com/mitu-world/indisputable-proof-that-famous-latinos-are-part-of-the-illuminati/","Selena, Walter Mercado and El Chavo are All Illuminati, Here’s Proof","Okay, this is actually terrifying...","Link","Celebrity & Gossip",2016-02-25,"6:00:00 a. m.",6,4,2,235183,266,1137,154,1557,0.0066,7371,308,"6","1","3","0","1",0,0.008812903,"Celebrity & Gossip"
"1405630409737397_1558208647812905","https://www.facebook.com/wearemitu/posts/1558208647812905","https://www.wearemitu.com/mitu-world/demi-lavotos-impression-of-christina-aguilera-will-leave-you-in-awe/","Demi Lovato Nails Fetty Wap Singing Impersonation","She just made my childhood a million times better.","Link","Celebrity & Gossip",2016-02-25,"10:00:00 a. m.",10,4,2,352860,120,2250,283,2653,0.0075,11422,319,"1","1","0","1","0",0,0.40376875,"Celebrity & Gossip"
"1405630409737397_1558263707807399","https://www.facebook.com/wearemitu/posts/1558263707807399","https://www.wearemitu.com/mitu-world/reminder-ac-slater-of-saved-by-the-bell-was-a-proud-chicano/","There’s An Actual Episode Of ’Saved By The Bell’ Where Slater Finds Out He’s Mexican","How did we forget about this episode?","Link","TV & Movies",2016-02-25,"2:00:00 p. m.",14,4,2,712541,1064,9206,1214,11484,0.0161,33841,466,"5","1","0","1","0",0,0.302376923,"TV & Movies"
"1405630409737397_1558267894473647","https://www.facebook.com/wearemitu/posts/1558267894473647","https://www.wearemitu.com/mitu-voice/america-ferrera-used-whiteface-for-a-role-and-other-latinos-get-real-about-working-in-hollywood/","This Latina Actress Used White Face In An Audition Tape","How is this still a problem?","Link","Celebrity & Gossip",2016-02-25,"3:00:00 p. m.",15,4,2,209723,43,369,49,461,0.0022,7469,351,"1","1","0","1","0",0,-0.165589474,"Celebrity & Gossip"
"1405630409737397_1558280241139079","https://www.facebook.com/wearemitu/posts/1558280241139079","https://www.wearemitu.com/mitu-world/it-took-jorge-ramos-10-minutes-to-prove-marco-rubio-doesnt-understand-young-latinos/","It Took Jorge Ramos Only 10 Minutes To Prove Marco Rubio Doesn't Understand Young Latinos","It got awkward fast.","Link","Citizenship & Politics",2016-02-25,"5:00:00 p. m.",17,4,2,721650,781,6876,1126,8783,0.0122,42757,537,NA,"0",NA,"1","0",0,0.154193023,"Citizenship & Politics"
"1405630409737397_1558339574466479","https://www.facebook.com/wearemitu/posts/1558339574466479","https://www.wearemitu.com/mitu-world/atlantas-latina-musical-sensation-cristina-quinones-covered-adeles-hello-and-it-is-beautiful/","This Latina is Giving Adele a Run for Her Money","This will give you goosebumps.","Link","Music",2016-02-25,"9:00:00 p. m.",21,4,2,155664,45,880,149,1074,0.0069,4374,274,"4","1","3","0","1",0.34,0.414976,"Music"
"1405630409737397_1558340384466398","https://www.facebook.com/wearemitu/posts/1558340384466398","https://www.wearemitu.com/mitu-voice/quiz-how-mexican-is-your-fridge/","Quiz: How Mexican is Your Fridge?","All Mexicans should have these ingredients.","Link","Latino Culture",2016-02-25,"11:00:00 p. m.",23,4,2,145903,34,251,38,323,0.0022,4588,309,"2","1","2","0","1",0,0.0908,"Latino Culture"
"1405630409737397_1558591814441255","https://www.facebook.com/wearemitu/posts/1558591814441255","https://www.wearemitu.com/mitu-voice/basics-do-yogurt-with-toppings-we-do-tostiloco-bars/","If You Love Mexican Candy, This Yogurtland-Like Place Is Heaven","Froyo < Tostiloco Bars","Link","Food & Beverages",2016-02-26,"12:00:00 p. m.",12,5,2,390313,889,4520,748,6157,0.0158,8703,213,"3","1","0","1","0",0.8176,0.338277586,"Food & Beverages"
"1405630409737397_1558658437767926","https://www.facebook.com/wearemitu/posts/1558658437767926","https://www.wearemitu.com/mitu-voice/did-you-know-that-mariah-carey-was-almost-maria-nunez/","One Of The World's Top Recording Artists Reveals She's Latina, Not Irish Like Everyone Thought","They changed her name out of fear of discrimination.","Link","Celebrity & Gossip",2016-02-26,"7:00:00 p. m.",19,5,2,794969,1313,4984,878,7175,0.009,61409,595,"5","1","0","1","0",0.5106,0.015480319,"Celebrity & Gossip"
