"status_id","date","post_type","from_name","link_clicks","post_reach","post_reach_viral","post_video_views","total_comments","total_likes","total_shares"
"1405630409737397_1811443285822772",2017-08-04,"video","We are mitu",74,597901,104572,188691,2139,4395,544
"1405630409737397_1811443969156037",2017-08-05,"photo","We are mitu",120,537665,113690,0,1674,7517,942
"1405630409737397_1811444419155992",2017-08-05,"photo","We are mitu",131,2033917,1073863,0,12169,37284,4057
"1405630409737397_1811444992489268",2017-08-04,"link","We are mitu",777,117463,8475,70,146,912,92
"1405630409737397_1811463202487447",2017-08-05,"video","We are mitu",99,185719,2942,80405,95,418,53
"1405630409737397_1811479992485768",2017-08-04,"link","We are mitu",9548,291202,32336,23,104,1630,194
"1405630409737397_1811480785819022",2017-08-04,"link","We are mitu",1022,93947,980,127,36,170,7
"1405630409737397_1811574082476359",2017-08-05,"video","We are mitu",88,674669,184970,212807,1835,5337,1058
"1405630409737397_1811806009119833",2017-08-05,"video","We are mitu",159,418456,4203,106936,21,549,0
"1405630409737397_1811905129109921",2017-08-05,"video","We are mitu",135,654808,19082,165280,392,1638,0
"1405630409737397_1812021752431592",2017-08-06,"video","We are mitu",77,2561203,1158266,626248,37377,13499,3636
"1405630409737397_1812400765727024",2017-08-06,"video","We are mitu",94,1087225,123058,368879,2779,4875,0
"1405630409737397_1812532335713867",2017-08-07,"link","We are mitu",3318,184124,10829,7,385,347,64
"1405630409737397_1812539029046531",2017-08-07,"link","We are mitu",1214,201421,40040,58,444,3277,361
"1405630409737397_1812557842377983",2017-08-07,"video","We are mitu",95,3180919,1932102,772807,29688,34752,8521
"1405630409737397_1812565029043931",2017-08-07,"photo","We are mitu",5,229016,31153,0,446,3195,300
"1405630409737397_1812565909043843",2017-08-07,"photo","We are mitu",56,1707694,936096,0,10765,42968,8221
"1405630409737397_1812755529024881",2017-08-07,"photo","We are mitu",49,543726,118296,0,2768,7442,762
"1405630409737397_1812765002357267",2017-08-07,"video","We are mitu",196,2714396,1364226,699173,5450,17281,5946
"1405630409737397_1812776699022764",2017-08-07,"video","We are mitu",114,6136697,1567780,1857349,11614,30829,9154
"1405630409737397_1812808465686254",2017-08-07,"link","We are mitu",743,113611,806,128,32,114,0
"1405630409737397_1812819225685178",2017-08-07,"video","We are mitu",40,2754592,1369257,823919,28080,21992,5234
"1405630409737397_1812820475685053",2017-08-07,"photo","We are mitu",57,346939,75283,0,698,6951,772
"1405630409737397_1812820839018350",2017-08-07,"photo","We are mitu",32,1246109,585798,0,7543,36091,4095
"1405630409737397_1812842625682838",2017-08-08,"video","We are mitu",77,437631,96160,201026,1016,6598,1436
"1405630409737397_1812851262348641",2017-08-07,"link","We are mitu",651,55314,985,248,16,240,17
"1405630409737397_1812859345681166",2017-08-08,"photo","We are mitu",34,598888,177566,0,2661,11998,1739
"1405630409737397_1812886949011739",2017-08-07,"video","We are mitu",97,788110,48306,307797,957,3370,0
"1405630409737397_1812897452344022",2017-08-08,"photo","We are mitu",67,242942,35202,0,507,3360,359
"1405630409737397_1812899655677135",2017-08-07,"link","We are mitu",224,40755,238,142,1,77,7
"1405630409737397_1812914842342283",2017-08-07,"link","We are mitu",4404,207916,14473,123,79,526,233
"1405630409737397_1812920185675082",2017-08-08,"photo","We are mitu",41,410181,62238,0,1064,4231,635
"1405630409737397_1812921389008295",2017-08-08,"photo","We are mitu",63,342702,53461,0,598,4492,393
"1405630409737397_1812944442339323",2017-08-07,"link","We are mitu",284,67178,453,3,12,104,0
"1405630409737397_1812953685671732",2017-08-07,"video","We are mitu",1239,1658556,473393,511773,2459,11065,3595
"1405630409737397_1813145375652563",2017-08-08,"link","We are mitu",4991,143846,2147,127,68,143,14
"1405630409737397_1813185492315218",2017-08-08,"link","We are mitu",651,71770,971,4,2,209,0
"1405630409737397_1813188838981550",2017-08-08,"video","We are mitu",10524,10633494,1816497,3233891,5074,59186,7835
"1405630409737397_1813230698977364",2017-08-08,"link","We are mitu",3664,209618,10386,147,288,794,0
"1405630409737397_1813249938975440",2017-08-08,"photo","We are mitu",59,987496,354599,0,5785,21642,3201
"1405630409737397_1813303135636787",2017-08-08,"photo","We are mitu",23,613180,174361,0,1901,13524,1705
"1405630409737397_1813306022303165",2017-08-08,"link","We are mitu",897,59342,324,7,25,77,3
"1405630409737397_1813323982301369",2017-08-08,"video","We are mitu",76,538843,93979,155335,1833,6462,1239
"1405630409737397_1813341318966302",2017-08-08,"video","We are mitu",76,422691,19885,100814,181,1972,0
"1405630409737397_1813348972298870",2017-08-09,"link","We are mitu",2161,243614,9156,11,157,1033,261
"1405630409737397_1813409432292824",2017-08-08,"link","We are mitu",3260,146535,1456,113,47,90,0
"1405630409737397_1813446422289125",2017-08-09,"video","We are mitu",74,1865006,898018,404816,14334,34784,7120
"1405630409737397_1813483328952101",2017-08-09,"photo","We are mitu",34,268508,30686,0,618,2784,323
"1405630409737397_1813493048951129",2017-08-09,"photo","We are mitu",71,376288,54107,0,1606,4807,437
"1405630409737397_1813583262275441",2017-08-09,"link","We are mitu",485,76346,1184,50,11,286,11
"1405630409737397_1813636585603442",2017-08-09,"link","We are mitu",1721,92487,4848,22,79,329,60
"1405630409737397_1813666985600402",2017-08-09,"video","We are mitu",79,345037,21473,124774,915,3794,0
"1405630409737397_1813688405598260",2017-08-09,"link","We are mitu",391,53656,404,169,9,73,0
"1405630409737397_1813703928930041",2017-08-09,"photo","We are mitu",85,614455,145717,0,3650,8129,664
"1405630409737397_1813712168929217",2017-08-09,"video","We are mitu",182,8320499,6128908,3653385,83226,134594,39566
"1405630409737397_1813718225595278",2017-08-09,"link","We are mitu",16194,415942,53093,28,516,1443,281
"1405630409737397_1813744272259340",2017-08-10,"photo","We are mitu",54,523607,138324,0,2481,10167,1263
"1405630409737397_1813744482259319",2017-08-09,"photo","We are mitu",103,828317,354058,0,2174,23087,3010
"1405630409737397_1813744668925967",2017-08-10,"photo","We are mitu",44,664595,256535,0,3412,17870,2702
"1405630409737397_1813756362258131",2017-08-09,"photo","We are mitu",50,481516,140178,0,1484,14006,1388
"1405630409737397_1813786902255077",2017-08-09,"video","We are mitu",72,813593,129037,233990,2491,38893,632
"1405630409737397_1813806695586431",2017-08-09,"link","We are mitu",5178,208586,19702,285,195,2503,0
"1405630409737397_1813811295585971",2017-08-09,"video","We are mitu",170,2010374,1080518,848057,12318,37843,7666
"1405630409737397_1813815858918848",2017-08-11,"video","We are mitu",97,2103419,168302,572436,747,5450,876
"1405630409737397_1813894602244307",2017-08-09,"link","We are mitu",30412,855805,200146,164,1603,17511,0
"1405630409737397_1814081405558960",2017-08-10,"link","We are mitu",417,78065,247,2,16,75,0
"1405630409737397_1814131018887332",2017-08-10,"video","We are mitu",74,1088884,371315,370450,5187,16521,3929
"1405630409737397_1814137592220008",2017-08-10,"link","We are mitu",6567,367966,43740,19,1441,1645,336
"1405630409737397_1814150562218711",2017-08-10,"video","We are mitu",137,238294,4635,42001,15,365,0
"1405630409737397_1814154085551692",2017-08-10,"photo","We are mitu",39,1238354,648405,0,6653,39709,6164
"1405630409737397_1814154485551652",2017-08-10,"photo","We are mitu",25,322824,50765,0,1172,4335,569
"1405630409737397_1814177765549324",2017-08-10,"video","We are mitu",222,720821,139807,207874,221,3390,621
"1405630409737397_1814183958882038",2017-08-10,"link","We are mitu",1701,71672,1533,69,48,231,11
"1405630409737397_1814188538881580",2017-08-10,"photo","We are mitu",64,1739167,915206,0,9542,14914,4095
"1405630409737397_1814202215546879",2017-08-10,"link","We are mitu",2856,213965,21172,235,271,1886,245
"1405630409737397_1814225765544524",2017-08-12,"link","We are mitu",4003,187131,3595,37,163,383,44
"1405630409737397_1814262555540845",2017-08-10,"link","We are mitu",363,66174,365,5,2,130,0
"1405630409737397_1814278815539219",2017-08-10,"link","We are mitu",608,280861,74,1,4,192,8
"1405630409737397_1814292985537802",2017-08-11,"link","We are mitu",9608,252248,32250,14,151,2721,324
"1405630409737397_1814297798870654",2017-08-10,"video","We are mitu",32,722168,83802,253215,4697,4427,603
"1405630409737397_1814303912203376",2017-08-14,"link","We are mitu",64940,915881,265896,11,1483,13893,1230
"1405630409737397_1814313325535768",2017-08-11,"photo","We are mitu",25,587001,160521,0,2346,10510,1508
"1405630409737397_1814319072201860",2017-08-11,"video","We are mitu",46,891609,193510,276472,3248,8183,2032
"1405630409737397_1814333225533778",2017-08-11,"photo","We are mitu",77,938256,432921,0,4645,29720,4366
"1405630409737397_1814333502200417",2017-08-11,"photo","We are mitu",41,235956,26619,0,433,2944,269
"1405630409737397_1814359548864479",2017-08-10,"link","We are mitu",372,70708,879,118,15,105,24
"1405630409737397_1814594172174350",2017-08-11,"link","We are mitu",884,86045,434,61,26,50,0
"1405630409737397_1814682778832156",2017-08-11,"link","We are mitu",171,25955,8,28,1,19,0
"1405630409737397_1814689448831489",2017-08-11,"link","We are mitu",1343,72624,704,2,12,85,11
"1405630409737397_1814708598829574",2017-08-13,"link","We are mitu",2660,162744,4980,198,27,482,58
"1405630409737397_1814716692162098",2017-08-13,"link","We are mitu",708,93731,1860,0,11,292,37
"1405630409737397_1814722495494851",2017-08-11,"photo","We are mitu",55,366616,63732,0,1174,4635,615
"1405630409737397_1814722712161496",2017-08-11,"photo","We are mitu",19,572962,116932,0,2898,7860,921
"1405630409737397_1814723148828119",2017-08-12,"photo","We are mitu",174,577178,137340,0,2893,8018,1287
"1405630409737397_1814732748827159",2017-08-13,"link","We are mitu",2937,137630,3072,112,44,212,26
"1405630409737397_1814736442160123",2017-08-11,"link","We are mitu",1265,81660,389,7,10,78,0
"1405630409737397_1814772018823232",2017-08-11,"video","We are mitu",65,173153,356,33013,19,100,0
"1405630409737397_1814780085489092",2017-08-12,"link","We are mitu",3520,213697,10519,175,179,923,93
"1405630409737397_1814783635488737",2017-08-12,"video","We are mitu",130,2131947,981809,498629,24503,24684,4475
"1405630409737397_1814783932155374",2017-08-11,"video","We are mitu",33,383632,26668,113700,682,1533,310
"1405630409737397_1814787728821661",2017-08-11,"link","We are mitu",610,49563,108,101,6,32,2
"1405630409737397_1814791945487906",2017-08-13,"video","We are mitu",71,1393994,572055,500642,7498,23649,4431
"1405630409737397_1814801155486985",2017-08-12,"video","We are mitu",145,1132096,435486,392782,3287,16514,5222
"1405630409737397_1814813208819113",2017-08-12,"link","We are mitu",2897,194760,1462,5,5,259,8
"1405630409737397_1814816495485451",2017-08-13,"link","We are mitu",3902,175461,12320,6,61,1211,171
"1405630409737397_1814818868818547",2017-08-13,"video","We are mitu",138,2686520,1125148,666046,8283,22361,6992
"1405630409737397_1814825228817911",2017-08-11,"link","We are mitu",334,87221,1619,89,4,352,27
"1405630409737397_1814826345484466",2017-08-11,"photo","We are mitu",22,384978,105940,0,535,10278,1842
"1405630409737397_1814830402150727",2017-08-12,"photo","We are mitu",43,224649,25155,0,282,2742,329
"1405630409737397_1814831732150594",2017-08-12,"photo","We are mitu",58,384460,73429,0,513,6737,800
"1405630409737397_1814832095483891",2017-08-12,"photo","We are mitu",39,818927,270899,0,3429,13668,2549
"1405630409737397_1814832562150511",2017-08-12,"photo","We are mitu",40,363640,72667,0,359,7175,685
"1405630409737397_1814834158817018",2017-08-12,"photo","We are mitu",70,216456,17798,0,126,2908,120
"1405630409737397_1814955115471589",2017-08-12,"video","We are mitu",101,194081,7345,42749,216,1107,154
"1405630409737397_1815048988795535",2017-08-12,"link","We are mitu",21310,546027,57092,24,100,3492,203
"1405630409737397_1815129765454124",2017-08-12,"link","We are mitu",14320,541403,80476,101,757,4572,496
"1405630409737397_1815226772111090",2017-08-12,"video","We are mitu",91,942893,109408,225551,1029,8305,1
"1405630409737397_1815249778775456",2017-08-12,"link","We are mitu",1306,103675,1813,76,4,363,0
"1405630409737397_1815441935422907",2017-08-13,"video","We are mitu",46,184493,6606,57085,194,598,89
"1405630409737397_1815443502089417",2017-08-13,"photo","We are mitu",29,476294,86540,0,1879,6859,646
"1405630409737397_1815443922089375",2017-08-13,"photo","We are mitu",73,833120,298013,0,3661,17868,3100
"1405630409737397_1815444405422660",2017-08-13,"photo","We are mitu",61,472830,88085,0,1477,5921,913
"1405630409737397_1815444535422647",2017-08-13,"photo","We are mitu",49,295405,24789,0,468,2526,189
"1405630409737397_1815513735415727",2017-08-13,"link","We are mitu",840,109765,731,40,14,213,0
"1405630409737397_1815713208729113",2017-08-13,"photo","We are mitu",41,569202,161460,0,1910,13976,1725
"1405630409737397_1815718192061948",2017-08-13,"photo","We are mitu",37,503125,122682,0,1929,9542,1481
"1405630409737397_1815723985394702",2017-08-14,"video","We are mitu",112,505740,77041,194987,1921,3514,711
"1405630409737397_1815747675392333",2017-08-13,"video","We are mitu",54,1254501,258753,274124,9861,5187,1120
"1405630409737397_1815804332053334",2017-08-13,"link","We are mitu",281,56644,139,108,0,65,0
"1405630409737397_1815865848713849",2017-08-14,"video","We are mitu",186,516567,59023,122733,257,3128,450
"1405630409737397_1815908575376243",2017-08-14,"photo","We are mitu",261,2570876,1506260,0,41171,47531,7686
"1405630409737397_1815908792042888",2017-08-14,"photo","We are mitu",22,296622,30670,0,910,2521,215
"1405630409737397_1816018368698597",2017-08-14,"link","We are mitu",381,70400,81,79,5,38,0
"1405630409737397_1816063708694063",2017-08-14,"link","We are mitu",3969,171791,3873,90,20,156,4
"1405630409737397_1816128648687569",2017-08-14,"photo","We are mitu",71,781761,282168,0,3338,14588,2214
"1405630409737397_1816129262020841",2017-08-14,"photo","We are mitu",61,104007,5955,0,62,990,90
"1405630409737397_1816211528679281",2017-08-14,"link","We are mitu",1741,192404,1024,6,22,158,10
"1405630409737397_1816221088678325",2017-08-14,"video","We are mitu",101,1064214,284433,384656,2261,19852,1460
"1405630409737397_1816221798678254",2017-08-14,"link","We are mitu",3214,208212,5688,105,370,527,39
"1405630409737397_1816258545341246",2017-08-15,"photo","We are mitu",24,809369,296009,0,4817,21910,2810
"1405630409737397_1816264225340678",2017-08-14,"link","We are mitu",2441,272085,13315,107,186,1187,107
